user_id,paper_id,rating
user_0,arxiv_8d93fef007,3.5
user_0,arxiv_cf192fde14,3.5
user_0,http://arxiv.org/abs/1912.04246v1,4.5
user_0,arxiv_68fbf0529a,4.5
user_0,http://arxiv.org/abs/cs/0307005v3,4.0
user_0,arxiv_d53fcc6cfd,3.5
user_0,http://arxiv.org/abs/1912.07854v1,4.5
user_0,arxiv_b1de14dd17,4.5
user_0,http://arxiv.org/abs/1712.08866v1,4.0
user_0,arxiv_cdb34e1a3c,4.5
user_0,arxiv_c75f0cab7a,3.5
user_0,http://arxiv.org/abs/1911.08199v3,4.0
user_0,arxiv_b04be7f72a,5.0
user_0,http://arxiv.org/abs/1911.00753v1,3.5
user_0,http://arxiv.org/abs/1912.10915v1,4.0
user_0,http://arxiv.org/abs/1912.02127v2,5.0
user_0,arxiv_15d550a3e7,4.5
user_0,arxiv_069bd820f3,3.0
user_0,arxiv_6eb942544e,3.5
user_0,arxiv_8a7917a2e8,3.0
user_0,http://arxiv.org/abs/2210.09640v3,4.5
user_0,arxiv_019ae50898,4.0
user_0,arxiv_4077486497,3.5
user_0,arxiv_90ac707b0b,5.0
user_0,http://arxiv.org/abs/1912.01861v1,4.0
user_0,arxiv_0a89d3d0bc,3.5
user_0,http://arxiv.org/abs/1712.08817v3,4.0
user_0,http://arxiv.org/abs/1712.03320v1,4.5
user_0,arxiv_63d9a68e0d,3.0
user_0,http://arxiv.org/abs/1710.02459v1,3.5
user_0,arxiv_fb479e1148,4.5
user_0,arxiv_ff59e093f6,4.0
user_0,arxiv_2c03eb9dbc,4.0
user_0,arxiv_ff9b5be569,4.0
user_0,http://arxiv.org/abs/1712.08324v1,3.0
user_0,http://arxiv.org/abs/1712.10222v2,3.5
user_0,arxiv_8bd2b11a99,4.0
user_0,http://arxiv.org/abs/1712.09382v1,3.5
user_0,arxiv_94d1d45f72,3.0
user_1,http://arxiv.org/abs/1912.00937v1,3.5
user_1,arxiv_6a2a42c86f,4.5
user_1,arxiv_41c5ddd1de,3.0
user_1,http://arxiv.org/abs/1912.12867v2,5.0
user_1,http://arxiv.org/abs/1710.04726v2,4.0
user_1,http://arxiv.org/abs/1912.04968v2,3.5
user_1,http://arxiv.org/abs/2501.10858v1,3.5
user_1,http://arxiv.org/abs/1912.12110v3,4.0
user_1,http://arxiv.org/abs/2107.01354v1,5.0
user_1,http://arxiv.org/abs/1912.10751v1,3.5
user_1,http://arxiv.org/abs/2005.01282v2,3.5
user_1,http://arxiv.org/abs/1912.11151v1,4.0
user_1,http://arxiv.org/abs/1911.10531v1,4.0
user_1,arxiv_93280c10f3,4.0
user_1,arxiv_0583e59389,4.5
user_1,arxiv_4dd996182d,3.5
user_1,arxiv_468f3eddfa,5.0
user_1,http://arxiv.org/abs/2001.00001v2,4.0
user_1,arxiv_8ebc75c6ec,3.5
user_1,arxiv_9a01e6c4bc,4.5
user_1,http://arxiv.org/abs/1912.12479v5,4.5
user_1,arxiv_a91608da77,4.0
user_1,http://arxiv.org/abs/2206.01315v2,4.5
user_1,arxiv_75c50aab76,3.5
user_1,http://arxiv.org/abs/1911.07213v1,4.0
user_1,http://arxiv.org/abs/1702.05962v1,5.0
user_1,http://arxiv.org/abs/1710.08852v1,3.5
user_1,arxiv_365016326a,4.0
user_1,http://arxiv.org/abs/1912.01854v1,4.5
user_1,arxiv_b7d9dc5a97,5.0
